Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1776102512,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1776102513,1,,Aggregated,0.000000,0.000000,660,660,660,660,660,660,660,660,660,660,660,1,0,661.0720419557765,661.0720419557765,661.0720419557765,661.0720419557765,8840.0
1776102514,2,,Aggregated,0.000000,0.000000,660,660,660,660,660,660,660,660,660,660,660,2,0,320,488.5904169641435,316.1087919725105,661.0720419557765,8840.0
1776102515,3,,Aggregated,0.000000,0.000000,390,390,660,660,660,660,660,660,660,660,660,4,0,330,424.6286774869077,316.1087919725105,661.0720419557765,8840.0
1776102516,4,,Aggregated,1.000000,0.000000,330,330,390,390,660,660,660,660,660,660,660,6,0,320,383.65517398536514,301.0292919934727,661.0720419557765,8840.0
1776102517,5,,Aggregated,1.000000,0.000000,330,340,390,500,660,660,660,660,660,660,660,9,1,330,350.1143151014629,10.704791988246143,661.0720419557765,7906.888888888889
1776102518,6,,Aggregated,1.250000,0.000000,330,390,500,580,580,660,660,660,660,660,660,13,3,330,357.4538175285292,5.991666985210031,661.0720419557765,6873.307692307692
1776102519,7,,Aggregated,1.600000,0.200000,330,340,500,500,580,660,660,660,660,660,660,16,5,320,325.1444976158382,5.072667030617595,661.0720419557765,6169.0
1776102520,8,,Aggregated,1.833333,0.500000,330,390,520,580,640,660,660,660,660,660,660,19,5,330,351.62384662544355,5.072667030617595,661.0720419557765,6590.736842105263
1776102521,9,,Aggregated,2.000000,0.571429,310,340,500,520,580,640,660,660,660,660,660,23,5,310,341.32361786348906,5.072667030617595,661.0720419557765,6981.913043478261
1776102522,10,,Aggregated,2.125000,0.625000,330,390,520,570,640,660,700,700,700,700,700,28,6,320,353.23566081310025,5.072667030617595,695.2516669989564,7013.785714285715
1776102523,10,,Aggregated,2.333333,0.555556,340,390,500,570,640,690,700,700,700,700,700,33,6,340,368.7882462946811,5.072667030617595,695.2516669989564,6789.333333333333
1776102524,10,,Aggregated,2.500000,0.600000,340,390,420,520,640,690,700,700,700,700,700,38,6,330,361.51511851839086,5.072667030617595,695.2516669989564,6841.5526315789475
1776102525,10,,Aggregated,2.900000,0.600000,330,390,400,500,580,660,700,700,700,700,700,41,6,330,354.4285407221717,5.072667030617595,695.2516669989564,6786.09756097561
1776102526,10,,Aggregated,3.200000,0.600000,350,390,500,540,640,670,700,700,700,700,700,46,6,340,372.83036418755177,5.072667030617595,695.2516669989564,6829.586956521739
